ASN,Organization
29196,LLC 'INZHENERNYE SETI - TELEKOM'
29208,Quantcom
29226,Mastertel
29238,Nisatel
29247,Cosmote Mobile Telecommunications S.A.
29256,INT-PDN-STE-AS
29276,MOBITEL GPRS
29286,Eutelsat - Skylogic
29287,Wien Energie GmbH
29357,Ooredoo Kuwait (Wataniya Telecom)
29399,Ramtek
29420,ALLOTELECOM LLC
29422,Nebula Oy
29449,ip telecom
29456,PJSC Rostelecom
29485,AMIS Telekom d.o.o.
29544,Mauritanian Telecommunication Company
29555,JSC Altel
29614,Telecel Ghana
29664,FLAG TELECOM UK LIMITED
29695,Lyse Tele AS
29744,United Telephone Mutual Aid Corporation
29866,OpticalTel
29894,SCRTC
29974,Wightman Telecom
30029,Dobson Technologies
30041,Race Telecommunications
30174,United Telephone Association
30325,SSTC NET
30341,South Central Telephone Association
30619,Telecomunicacoes de Mocambique
30722,Vodafone Italy
30733,JSC 'Globus-Telecom'
30742,Bremen Briteline GmbH
30784,Iskratelecom
30838,Jerzy Krempa 'Telpol' PPMUE
30844,Liquid Intelligent Technologies
30855,Tele-plus LLC
30902,Moasese Gostaresh Etelaat Va Ertebatat Farhangi Neda Rayaneh
30916,Primetel PLC
30975,Telewizja Kablowa Koszalin
30982,CAFE Informatique et telecommunications
30990,Djibouti Telecom
30999,Emtel
31028,Novoe Kabelnoe Television Ltd.
31083,Telepoint
31117,Energotel
31122,Viatel Ireland
31126,SODETEL S.A.L.
31143,COSMOS TV
31200,Novotelecom (NTK)
31203,Sharq Telekom
31213,PJSC MegaFon
31257,Orion Telecom
31261,GARS Telecom
31275,Telecom-Service
31277,New Line Telecom
31313,STS
31363,JSC 'ER-Telecom Holding'
31376,Smart Telecom
31404,LYCATEL DISTRIBUTION UK LIMITED
31412,STOWARZYSZENIE MILOSNIKOW TELEWIZJI SATELITARNEJ ASTRAL
31430,TC TEL CENTER AS31430
31499,MOTIV
31512,OJSC 'Telecommunications FEZ Nakhodka'
31549,RASANA
31615,Odido AS31615
31631,Telcom Networks
31685,TOV Teleradiocompany 'TIM'
31705,Europaischen Organisation fuer die Nutzung Meteorologischen Satelliten (Eumetsat)
31721,Azercell Telecom
31726,Telefiber
31841,NEW KNOXVILLE TELEPHONE COMPANY
32012,HD Telecom Inc.
32264,KMTELECOM
32277,TBayTel
32473,EHTEL
32758,TotelCSI
32890,Beehive Telephone Company
33059,Momentum Telecom AS33059
33130,Internet Access Solutions Ltd.
33247,Coastal Telco Services
33339,Nemont
33567,Econet Telecom Lesotho (PTY) LTD
33604,Burlington Telecom
33647,Yadkin Valley Telephone
33749,ATMC
33765,TTCL Corporation
33779,Wataniya Telecom Algerie
33788,Canar Telecommunications Corporation Limited (Canartel)
33835,Infosat Telecom
33871,Norilsk-Telecom JSC
33915,Vodafone Libertel B.V.
33922,Nacionalinis Telekomunikaciju Tinklas
33934,PJSC Rostelecom
33986,Redder Telco
34060,SC TELECOMUNICATII CFR SA
34066,Telappliant
34087,NTE Bredbånd AS
34137,PJSC Rostelecom
34150,JSC 'ER-Telecom Holding'
34156,DB Systel GmbH
34168,PJSC Rostelecom
34170,Aztelekom
34244,Teleservice Bredband Skåne AB
34263,MPY Telecom Oy
34265,SilverTelecom
34267,PJSC Rostelecom
